place,category,prcof,HHTYP,amount,Flag and Footnotes
European Union (current composition),Device for internet access: desktop or portable computer,Percentage of households,Total,78,
European Union (current composition),Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
European Union (current composition),Device for internet access: TV set with internet device,Percentage of households,Total,0,
European Union (current composition),Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
European Union (current composition),Device for internet access: handheld computer,Percentage of households,Total,0,
European Union (current composition),Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
European Union (current composition),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
European Union (current composition),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
European Union (before the accession of Croatia),Device for internet access: desktop or portable computer,Percentage of households,Total,78,
European Union (before the accession of Croatia),Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
European Union (before the accession of Croatia),Device for internet access: TV set with internet device,Percentage of households,Total,0,
European Union (before the accession of Croatia),Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
European Union (before the accession of Croatia),Device for internet access: handheld computer,Percentage of households,Total,0,
European Union (before the accession of Croatia),Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
European Union (before the accession of Croatia),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
European Union (before the accession of Croatia),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
European Union (25 countries),Device for internet access: desktop or portable computer,Percentage of households,Total,0,
European Union (25 countries),Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,0,
European Union (25 countries),Device for internet access: TV set with internet device,Percentage of households,Total,0,
European Union (25 countries),Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
European Union (25 countries),Device for internet access: handheld computer,Percentage of households,Total,0,
European Union (25 countries),Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
European Union (25 countries),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
European Union (25 countries),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
European Union (15 countries),Device for internet access: desktop or portable computer,Percentage of households,Total,80,
European Union (15 countries),Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
European Union (15 countries),Device for internet access: TV set with internet device,Percentage of households,Total,0,
European Union (15 countries),Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
European Union (15 countries),Device for internet access: handheld computer,Percentage of households,Total,0,
European Union (15 countries),Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
European Union (15 countries),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
European Union (15 countries),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Device for internet access: desktop or portable computer,Percentage of households,Total,78,
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Device for internet access: TV set with internet device,Percentage of households,Total,0,
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Device for internet access: handheld computer,Percentage of households,Total,0,
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
