GEO,INDIC_IS,UNIT,HHTYP,Value,Flag and Footnotes
European Union (current composition),Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
European Union (current composition),Device for internet access: TV set with internet device,Percentage of households,Total,:,
European Union (current composition),Device for internet access: handheld computer,Percentage of households,Total,:,
European Union (current composition),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
European Union (before the accession of Croatia),Device for internet access: desktop or portable computer,Percentage of households,Total,78,
European Union (before the accession of Croatia),Device for internet access: TV set with internet device,Percentage of households,Total,:,
European Union (before the accession of Croatia),Device for internet access: handheld computer,Percentage of households,Total,:,
European Union (before the accession of Croatia),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
European Union (25 countries),Device for internet access: desktop or portable computer,Percentage of households,Total,:,
European Union (25 countries),Device for internet access: TV set with internet device,Percentage of households,Total,:,
European Union (25 countries),Device for internet access: handheld computer,Percentage of households,Total,:,
European Union (25 countries),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
European Union (15 countries),Device for internet access: desktop or portable computer,Percentage of households,Total,80,
European Union (15 countries),Device for internet access: TV set with internet device,Percentage of households,Total,:,
European Union (15 countries),Device for internet access: handheld computer,Percentage of households,Total,:,
European Union (15 countries),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
Belgium,Device for internet access: desktop or portable computer,Percentage of households,Total,82,
Belgium,Device for internet access: TV set with internet device,Percentage of households,Total,:,
Belgium,Device for internet access: handheld computer,Percentage of households,Total,:,
Belgium,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
Bulgaria,Device for internet access: desktop or portable computer,Percentage of households,Total,56,
Bulgaria,Device for internet access: TV set with internet device,Percentage of households,Total,:,
Bulgaria,Device for internet access: handheld computer,Percentage of households,Total,:,
Bulgaria,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
Czech Republic,Device for internet access: desktop or portable computer,Percentage of households,Total,76,
Czech Republic,Device for internet access: TV set with internet device,Percentage of households,Total,:,
Czech Republic,Device for internet access: handheld computer,Percentage of households,Total,:,
Czech Republic,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
Denmark,Device for internet access: desktop or portable computer,Percentage of households,Total,92,
Denmark,Device for internet access: TV set with internet device,Percentage of households,Total,:,
Denmark,Device for internet access: handheld computer,Percentage of households,Total,:,
Denmark,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,:,
